prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,s_path_file
Nikola tesla on a horse,outputs/txt2img-samples,False,False,50,False,0.0,2,512,512,4,8,5,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hello World!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1085,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Many years ago, there was a woodcutter.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3614,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Many years ago, there was a woodcutter.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3614,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""this is a test from deno js""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1818,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"The family did not have much money, but their home was always cozy and warm, and the children always had soup and bread to eat.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,11599,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
They never went hungry.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2211,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Many years ago, there was a woodcutter.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3614,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
He lived deep in the forest with his wife.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3811,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
She was a kind and gentle woman.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2868,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
They had two children: Hansel and Gretel.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3715,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Family portrait,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1527,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"The family did not have much money, but their home was always cozy and warm, and the children always had soup and bread to eat.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,11599,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
